name,latitude,longitude,Address,Amount
Prudential Center,42.34705,-71.08174,"800 Boylston St, Boston, MA 02199",1048
Embassy Suites by Hilton Boston at Logan Airport,42.37035,-71.03159,"207 Porter St, Boston, MA 02128",322
Bunker Hill Monument,42.37635,-71.06077,"Monument Sq, Charlestown, MA 02129",672
Noyes Playground,42.38886,-71.01091,"86 Boardman St, Boston, MA 02128",127
The Broadway,42.33575,-71.03625,"726 E Broadway, Boston, MA 02127",294
Boston Latin Academy,42.31611,-71.08459,"205 Townsend St, Boston, MA 02121",233
Arnold Arboretum of Harvard University,42.30736,-71.12077,"125 Arborway, Boston, MA 02130",162
Star Market,42.3186882,-71.0504916,"45 Morrissey Blvd, Dorchester, MA 02125",280
Hemenway Playground,42.2913719,-71.0561429,"540 Adams St, Boston, MA 02122",187
Carney Hospital,42.278064,-71.065935,"2100 Dorchester Ave, Dorchester, MA 02124",123
Joseph Lee K-8 School,42.29209,-71.07993,"155 Talbot Ave, Boston, MA 02124",172
Clear Flour Bakery,42.35005,-71.12612,"178 Thorndike St, Brookline, MA 02446",512
Boston College,42.3355488,-71.1684945,"140 Commonwealth Avenue, Chestnut Hill, MA 02467",137
Fallon Field,42.287344,-71.1355679,"Boston, MA 02131",138
West Roxbury VA Medical Center,42.27503,-71.17198,"1400 VFW Pkwy, West Roxbury, MA 02132",81
Chittick Elementary School,42.26725,-71.10464,"154 Ruskindale Rd, Hyde Park, MA 02136",102
William H Ohrenberger 3-8 Grades School,42.26098,-71.14954,"175 W Boundary Rd, West Roxbury, MA 02132",46
Iacono Playground,42.23899,-71.13545,"150 Readville St, Boston, MA 02136",52
Forest Hills Cemetery,42.29482,-71.10565,"95 Forest Hills Ave, Jamaica Plain, MA 02130",161
Dollar Tree,42.30631,-71.06653,"259 Bowdoin St, Dorchester, MA 02122",288
George Conley Elementary School,42.27479,-71.12706,"450 Poplar St, Boston, MA 02131",125
Downtown Crossing,42.35552,-71.06022,"Washington St &, Summer St, Boston, MA 02108",860
"Museum of Fine Arts, Boston",42.33938,-71.09404,"465 Huntington Ave, Boston, MA 02115",812
St. Elizabeth's Medical Center,42.3489,-71.14802,"736 Cambridge St, Brighton, MA 02135",812
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Downtown Crossing,,,,